date,startTime,endTime,name,stage,geofenceKey
02/23/18,20:30,22:00,Yonder Mountain String Band,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/23/18,20:00,21:00,Brad Parsons Band,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/23/18,20:00,21:00,Jon Stickley Trio,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/23/18,20:00,21:00,Old Salt Union,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/23/18,18:30,20:00,Elephant Revival,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/23/18,18:00,19:00,Brad Parsons Band,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/23/18,18:00,19:00,Jon Stickley Trio,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/23/18,18:00,19:00,Old Salt Union,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/23/18,16:30,17:30,Trout Steak Revival,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/23/18,16:00,17:00,Missed the Boat,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/23/18,16:00,17:00,The Wooks,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/23/18,16:00,17:00,Buffalo Commons,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/23/18,15:00,16:00,Jon Stickley Trio,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/23/18,14:00,15:00,Missed the Boat,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/23/18,14:00,15:00,The Wooks,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/23/18,14:00,15:00,Buffalo Commons,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/24/18,20:15,21:45,Greensky Bluegrass,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/24/18,19:45,20:45,Horseshoes & Hand Grenades,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/24/18,19:45,20:45,Pickin' on the Dead,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/24/18,19:45,20:45,Billy Strings,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/24/18,18:15,19:15,Fruition,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/24/18,17:45,18:45,Horseshoes & Hand Grenades,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/24/18,17:45,18:45,Pickin' on the Dead,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/24/18,17:45,18:45,Billy Strings,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/24/18,16:30,17:30,The Lil Smokies,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/24/18,16:00,17:00,Tallgrass,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/24/18,16:00,17:00,Pickin' on the Dead,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/24/18,16:00,17:00,Jay Roemer Band,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/24/18,15:00,16:00,Horseshoes & Hand Grenades,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/24/18,14:00,13:00,Tallgrass,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/24/18,14:00,13:00,Pickin' on the Dead,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/24/18,14:00,13:00,Jay Roemer Band,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/25/18,19:45,21:15,Leftover Salmon,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/25/18,19:15,20:15,We Dream Dawn,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/25/18,19:15,20:15,Ghost of Paul Revere,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/25/18,19:15,20:15,The Good Time Travelers & Guests,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/25/18,17:45,18:45,Travelin' McCourys,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/25/18,17:15,18:15,We Dream Dawn,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/25/18,17:15,18:15,Ghost of Paul Revere,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/25/18,17:15,18:15,The Good Time Travelers & Guests,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/25/18,16:00,17:00,Billy Strings,Main Stage,-L5HsWwGQ6DobQAxX2Xk
02/25/18,15:30,16:30,We Dream Dawn,Jamboree Tent,-L5HsnzuL90oAZtgfIkZ
02/25/18,15:30,16:30,Ghost of Paul Revere,Pickin' Perch,-L5HssUwJxlEGkfVquuj
02/25/18,15:30,16:30,The Good Time Travelers & Guests,Soap Box,-L5HsvWjuSsnHtm5LoVq
02/25/18,13:50,14:50,Grantful Dead Revue,Main Stage,-L5HsWwGQ6DobQAxX2Xk
